department,quarter,year,budget,actual,variance,variance_pct,category,notes
Engineering,Q1,2024,1700000,1720000,-20000,-1.2,Salaries,Slightly over due to contractor backfill
Engineering,Q2,2024,1750000,1760000,-10000,-0.6,Salaries,
Engineering,Q3,2024,1800000,1950000,-150000,-8.3,Salaries,Over budget - 3 senior hires accelerated + contractor surge for product launch
Engineering,Q4,2024,1800000,1780000,20000,1.1,Salaries,Under budget - 2 open roles not filled
Engineering,Q1,2025,1900000,1920000,-20000,-1.1,Salaries,
Engineering,Q2,2025,1950000,1980000,-30000,-1.5,Salaries,
Sales,Q1,2024,920000,910000,10000,1.1,Salaries,
Sales,Q2,2024,950000,980000,-30000,-3.2,Salaries,Commission overrun on Q2 deals
Sales,Q3,2024,980000,1120000,-140000,-14.3,Salaries,Significant overrun - accelerated hiring + high commission payouts on late-quarter deals
Sales,Q4,2024,980000,960000,20000,2.0,Salaries,
Sales,Q1,2025,1050000,1040000,10000,1.0,Salaries,
Sales,Q2,2025,1100000,1090000,10000,0.9,Salaries,
Marketing,Q1,2024,580000,560000,20000,3.4,Marketing,
Marketing,Q2,2024,600000,620000,-20000,-3.3,Marketing,Trade show spend
Marketing,Q3,2024,620000,710000,-90000,-14.5,Marketing,Over budget - digital campaign spend increased for product launch
Marketing,Q4,2024,620000,640000,-20000,-3.2,Marketing,
Marketing,Q1,2025,650000,660000,-10000,-1.5,Marketing,
Marketing,Q2,2025,680000,700000,-20000,-2.9,Marketing,
Operations,Q1,2024,510000,500000,10000,2.0,Operations,
Operations,Q2,2024,525000,530000,-5000,-1.0,Operations,
Operations,Q3,2024,540000,580000,-40000,-7.4,Operations,Facilities and IT infrastructure costs
Operations,Q4,2024,540000,520000,20000,3.7,Operations,
Operations,Q1,2025,560000,555000,5000,0.9,Operations,
Operations,Q2,2025,580000,590000,-10000,-1.7,Operations,
G&A,Q1,2024,360000,355000,5000,1.4,G&A,General and Administrative
G&A,Q2,2024,370000,375000,-5000,-1.4,G&A,
G&A,Q3,2024,380000,420000,-40000,-10.5,G&A,Legal fees for contract disputes + software license true-up
G&A,Q4,2024,380000,390000,-10000,-2.6,G&A,
G&A,Q1,2025,400000,405000,-5000,-1.3,G&A,
G&A,Q2,2025,410000,415000,-5000,-1.2,G&A,
R&D,Q1,2024,420000,415000,5000,1.2,R&D,Research and Development
R&D,Q2,2024,435000,440000,-5000,-1.1,R&D,
R&D,Q3,2024,450000,480000,-30000,-6.7,R&D,New AI feature development sprint
R&D,Q4,2024,450000,460000,-10000,-2.2,R&D,
R&D,Q1,2025,480000,475000,5000,1.0,R&D,
R&D,Q2,2025,500000,510000,-10000,-2.0,R&D,
